start,dest,longitude0,latitude0,longitude1,latitude1,the_geom,cartodb_id,created_at,updated_at
"-1.743876248,52.45417725","8.5618685,47.4524688",-1.743876248,52.45417725,8.5618685,47.4524688,0102000020E61000000200000023E6D6C7EAE6FBBF2AABE97A223A4A401E4E603AAD1F2140ED3A657FEAB94740,4,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"100.4160866,13.5859219","8.5618685,47.4524688",100.4160866,13.5859219,8.5618685,47.4524688,0102000020E61000000200000072D3B029A11A594037058DF4FD2B2B401E4E603AAD1F2140ED3A657FEAB94740,5,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"72.8650825,19.0895145","8.5618685,47.4524688",72.8650825,19.0895145,8.5618685,47.4524688,0102000020E610000002000000E275FD825D3752408E041A6CEA1633401E4E603AAD1F2140ED3A657FEAB94740,6,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"5.3031044,51.6889351","8.5618685,47.4524688",5.3031044,51.6889351,8.5618685,47.4524688,0102000020E6100000020000004518F5FF6036154083C87D062FD849401E4E603AAD1F2140ED3A657FEAB94740,7,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","76.932679,31.5469686",6.6837962,48.3486145,76.932679,31.5469686,0102000020E6100000020000002C84301235BC1A40A83462669F2C48409FAA4203B13B53405CF05822068C3F40,8,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","9.716074991,4.0141864",6.6837962,48.3486145,9.716074991,4.0141864,0102000020E6100000020000002C84301235BC1A40A83462669F2C484030A89761A16E2340203130E1860E1040,9,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","6.1089,46.2369",6.6837962,48.3486145,6.1089,46.2369,0102000020E6100000020000002C84301235BC1A40A83462669F2C48403A234A7B836F184011363CBD521E4740,10,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","31.8322298,60.1716709",6.6837962,48.3486145,31.8322298,60.1716709,0102000020E6100000020000002C84301235BC1A40A83462669F2C4840B2C11D030DD53F406396E24FF9154E40,11,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","11.55046699,3.72292195",6.6837962,48.3486145,11.55046699,3.72292195,0102000020E6100000020000002C84301235BC1A40A83462669F2C4840B6272FCFD6192740007CA64D8BC80D40,12,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"6.6837962,48.3486145","8.5618685,47.4524688",6.6837962,48.3486145,8.5618685,47.4524688,0102000020E6100000020000002C84301235BC1A40A83462669F2C48401E4E603AAD1F2140ED3A657FEAB94740,13,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"76.932679,31.5469686","2.163063772,41.40646725",76.932679,31.5469686,2.163063772,41.40646725,0102000020E6100000020000009FAA4203B13B53405CF05822068C3F401E38FF60F44D014091D26C1E07B44440,14,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"76.932679,31.5469686","6.6837962,48.3486145",76.932679,31.5469686,6.6837962,48.3486145,0102000020E6100000020000009FAA4203B13B53405CF05822068C3F402C84301235BC1A40A83462669F2C4840,15,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"76.932679,31.5469686","12.22693696,41.81435465",76.932679,31.5469686,12.22693696,41.81435465,0102000020E6100000020000009FAA4203B13B53405CF05822068C3F4046E8CA14317428403A8CEEC53CE84440,16,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
"76.932679,31.5469686","8.5570492,50.042758",76.932679,31.5469686,8.5570492,50.042758,0102000020E6100000020000009FAA4203B13B53405CF05822068C3F40A386808D351D214039D2191879054940,17,2015-08-14 10:04:32.223356+00,2015-08-16 12:05:52.771039+00
